ari,おひつじ,0,1,0,アザラシが海から上がったばかりの女性を抱いている。,A woman just risen from the sea. A seal is embracing her.
ari,おひつじ,1,2,1,人間の性質を明らかにするコメディアン。,A comedian reveals human nature.
ari,おひつじ,2,3,2,男のカメオの肖像が、彼の祖国の形を暗示している。,"The cameo profile of a man, suggesting the shape of his country."
ari,おひつじ,3,4,3,恋人たちが秘密の散歩を楽しむ。,Two lovers strolling on a secluded walk.
ari,おひつじ,4,5,4,翼をつけた三角。,A triangle with wings.
ari,おひつじ,5,6,5,一辺が光り輝く四角。,"A square, with one of its sides brightly illuminated."
ari,おひつじ,6,7,6,二つの領域で同時に自己表現することに成功する男。,A man succeeds in expressing himself simultaneously in two realms.
ari,おひつじ,7,8,7,リボンのついた大きな女性用の帽子が、東風になびいている。,A large woman's hat with streamers blown by an east wind.
ari,おひつじ,8,9,8,水晶を見つめる人。,A crystal gazer.
ari,おひつじ,9,10,9,教師が伝統的なイメージに対して、新しい象徴的な形態を与える。,A teacher gives new symbolic forms to traditional images.
ari,おひつじ,10,11,10,国家の支配者。,The ruler of a nation.
ari,おひつじ,11,12,11,野ガモの三角形型飛行。,A triangularly shaped flight of wild geese.
ari,おひつじ,12,13,12,成功しなかった社会的抗議を示す不発爆弾。,An unexploded bomb reveals an unsuccessful social protest.
ari,おひつじ,13,14,13,男と女のそばでとぐろを巻く蛇。,A serpent coiling near a man and a woman.
ari,おひつじ,14,15,14,インディアンが儀式用の毛布を編んでいる。,An Indian weaving a ceremonial blanket.
ari,おひつじ,15,16,15,日没の光の中で自然霊が働いているのが見られる。,Nature spirits are seen at work in the light of sunset.
ari,おひつじ,16,17,16,婚期を過ぎた未婚の高貴な女が二人、沈黙して座っている。,Two dignified spinsters sitting in silence.
ari,おひつじ,17,18,17,二本の木の間にはられた空っぽのハンモック。,An empty hammock stretched between two trees.
ari,おひつじ,18,19,18,東洋のイメージの「魔法の絨毯」。,The 'Magic Carpet' of oriental imagery.
ari,おひつじ,19,20,19,冬に若い女の子が鳥に餌をやっている。,A young girl feeding birds in winter.
ari,おひつじ,20,21,20,拳闘士がリングに上がる。,A pugilist entering the ring.
ari,おひつじ,21,22,21,実現されたすべての欲望の庭への門。,The gate to the garden of all fulfilled desires.
ari,おひつじ,22,23,22,軽快なサマードレスに身を包んだ妊娠女性。,A pregnant woman in light summer dress.
ari,おひつじ,23,24,23,内側に向かって吹く風で、開かれた窓のカーテンがコーヌコピアの形になる。,"Blown inward by the wind, the curtains of an open window take the shape of a cornucopia. "
ari,おひつじ,24,25,24,人が存在の二つのレベルでの体験を得る可能性。,The possibility for man to gain experience at two levels of being.
ari,おひつじ,25,26,25,人が自分が持てる以上に多くの贈物を所有している。,A man possessed of more gifts than he can hold.
ari,おひつじ,26,27,26,想像力を通じて、一度失われた機会を再び手にいれる。,Through imagination a lost opportunity is regained.
ari,おひつじ,27,28,27,予想が裏切られて失望する役者(演奏者)に出会う巨大な聴衆。,A large audience confronts the performer who disappointed its expectations.
ari,おひつじ,28,29,28,天球の音楽。,The music of the spheres.
ari,おひつじ,29,30,29,アヒルの池と、その子供たち。,A duck pond and its brood.
tau,おうし,0,1,30,清らかな山の小川。,A clear mountain stream.
tau,おうし,1,2,31,電気的な嵐。,An electrical storm.
tau,おうし,2,3,32,開花した三つ葉の芝に自然な歩みで入り込む。,Natural steps lead to a lawn of clover in bloom.
tau,おうし,3,4,33,虹の端にある黄金の壷。,The pot of gold at the end of the rainbow.
tau,おうし,4,5,34,開いた墓での未亡人。,A widow at an open grave.
tau,おうし,5,6,35,峡谷にかかるカンチレバー橋。,A cantilever bridge across a deep gorge.
tau,おうし,6,7,36,先祖の井戸にいるサマリアの女。,The woman of Samaria at the ancestral well.
tau,おうし,7,8,37,雪におおわれていない土地にあるソリ,A sleigh on land uncovered by snow.
tau,おうし,8,9,38,立派に飾られたクリスマスツリー。,A fully decorated Christmas tree.
tau,おうし,9,10,39,赤十字の看護婦。,A Red Cross nurse.
tau,おうし,10,11,40,自分の庭で花に水をやる女性。,A woman watering flowers in her garden.
tau,おうし,11,12,41,若いカップルがウィンドウショッピングをしている。,A young couple window-shopping.
tau,おうし,12,13,42,ポーターが重い荷物を運んでいる。,A porter carrying heavy baggage.
tau,おうし,13,14,43,海岸で、波打ち際の貝が手探りしているあいだに、子供たちが遊ぶ。,"On the beach, children play while shellfish grope at the edge of the water."
tau,おうし,14,15,44,男が頭に粋なシルクハットをかぶって、寒気を防ぎながら、嵐に立ち向かう。,"Head covered with a rakish silk hat, muffled against the cold, a man braves a storm."
tau,おうし,15,16,45,年とった教師が、自分の生徒に伝統的な知識に興味をもたせることに失敗する。,An old teacher fails to interest his pupils in traditional knowledge.
tau,おうし,16,17,46,「剣」と「たいまつ」の象徴的な戦い。,A symbolic battle between 'Swords' and 'Torches'.
tau,おうし,17,18,47,女性が自分の部屋の開かれた窓を通して、古いバックを虫干ししている。,A woman airing an old bag through the open window of her room.
